english;indonesian;spanish;tagalog
Create a Quote;Buat Kutipan;;
Send a quotation to your customer;Kirim kutipan pada pelanggan anda;;
Create an Invoice;Membuat Faktur;;
Sell items or service to your customer;Jual barang atau jasa kepada pelanggan anda;;
Customer Payment;Pembayaran Pelanggan;;
Receive payment from your customer;Menerima pembayaran dari pelanggan anda;;
Create a Credit Note;Membuat Catatan Kredit;;
Credit your customer for goods returned;Memberikan pelayanan barang retur untuk pelanggan;;
Create a Supplier Invoice;Buat Faktur Pemasok;;
Purchase items from supplier;Memberli barang dari pemasok;;
Supplier Payment;Pembayaran Pemasok;;
Pay your suppliers;Membayar pemasok anda;;
Bank Reconciliation;Rekonsiliasi Bank;;
View and reconcile your bank statement;Lihat dan rekonsiliasi laporan bank anda;;
Pay Expenses;Membayar Beban;;
Manually capture expenses into your bank;;;
View Bank Transaction;Melihat Transaksi Bank;;
View payments, receipts, and bank transfer;Lihat pembayaran, kuitansi, dan transfer bank;;
Send Customer Statements;Kirim pernyataan pelanggan;;
Email (print) statements to all your customer;Email (cetak) pernyataan kepada seluruh pelanggan anda;;
Profit and Loss;Laba Rugi;;
View your profit and loss report;Lihat laporan laba rugi;;
Balance Sheet;Neraca keuangan;;
Statement of assets and liabilities report;Laporan aktiva dan kewajiban;;
Prepare GST Return;Persiapan Mengembalikkan GST;;
Tax return and Tax reporting;SPT dan Pelaporan Pajak;;
Company Maintenance;Perawatan Perusahaan;;
Manage branding, financial years, Tax and so on;Mengelola branding, keuangan per tahun, pajak dan sebagainya;;
Dashboard;Dashboard;;
Operations;;;
Inquiry;;;
Reports;Laporan;;
Document Printing;Cetak Dokumen;;
Housekeeping;;;
Sales Quotation;Pengajuan Penjualan;;
Sales Order;Daftar Penjualan;;
Direct Delivery;Pengiriman;;
Direct Invoice;Permintaan;;
Sales Invoice;Permintaan Penjualan;;
Delivery Agains sales Orders;;;
Invoice Agains Sales Delivery;;;
Copy Delivery;Salin Pengiriman;;
Copy Invoice;Salin Permintaan;;
Create and Print Recurring Invoice;;;
Customer Payments;Pembayaran Pelanggan;;
Customer Credit Notes;;;
Allocation Customer Payments or Credit Notes;;;
Customer Transaction;;;
Customer Allocation;;;
Customer Ledger;;;
Aged Customer Analysis;;;
Customer Detail Listing;;;
Sales Summary Report;;;
Price Listing;;;
Order Status Listing;;;
Salesman Listing;;;
Print Invoices;;;
Print Credit Notes;;;
Print Deliveries;;;
Print Statments;;;
Print Sales Order;;;
Print Sales Quotations;;;
Print Receipts;;;
Customer Maintenance;;;
Customer Branches;;;
Sales Groups;;;
Sales Types;;;
Sales Persons;;;
Sales Areas;;;
Credit Status Setup;;;
Purchase Orders;;;
Direct GRN;;;
Supplier Invoices;;;
Payments to Suppliers;;;
Supplier Credit Notes;;;
Allocate Supplier Payments or Credit Notes;;;
Supplier transaction;;;
Supplier Allocation;;;
Supplier Ledger;;;
Age Supplier Analysis;;;
Payment Report;;;
Outstanding GRNs Report;;;
Supplier Detail Listing;;;
Print Purchase Orders;;;
Print Remittances;;;
Suppliers Maintenance;;;
Inventory Item Movements;;;
Inventory Item Status;;;
Inventory Valuation Report;;;
Inventory Planning Report;;;
Stock Check Sheets;;;
Inventory Sales Report;;;
GNL Valuation Report;;;
Inventory Purchasing Report;;;
Inventory Movement Report;;;
Costed Inventory Movement Report;;;
Item Sales summary Report;Laporan Ringkasan Penjualan Barang;;
Items;Barang;;
Foreign Item Codes;Kode Barang Asing;;
Sales Kits;Penjualan Kit;;
Item Categories;Kategori Barang;;
Inventory Locations;;;
Inventory Locations;Lokasi Persediaan;;
Inventory Movement Types;;;
Units of Measure;;;
Sales Pricing;Harga Penjualan;;
Purchasing Pricing;Harga Pembelian;;
Standard Costs;Biaya Standar;;
Mobile Accountant;;;
Payment;Pembayaran;;
Deposits;Deposito;;
Bank Account Transfers;Transfer Akun Bank;;
Journal Etry;Entri Jurnal;;
Budget Entry;Entri Anggaran;;
Reconcile Bank Account;Rekonsiliasi Akun Bank;;
GST Form 3;Formulir 3 GST;;
Journal;Jurnal;;
GL;GL;;
Bank Account;Akun Bank;;
Tax;Pajak;;
Trial Balance;Neraca Saldo;;
Balance Sheet Drilldown;;;
Profit and Loss Drilldown;;;
Bank Statments;Laporan Bank;;
Chart of Accounts;Bagan Akun;;
List of Journal Entries;Daftar Pembukuan Jurnal;;
GL Account Transactions;Akun Transaksi GL;;
Annual Expense Breakdown;Kerugian Tahunan;;
Balance Sheet;Neraca Keuangan;;
Profit and Loss Statment;Laporan Laba Rugi;;
Tax Report;Laporan Pajak;;
Audit Trail;Histori Audit;;
GST Grouping Details;Pengelompokkan Detail GST;;
Bank Paymet Voucher;Voucher Pembayaran Bank;;
Bank Deposit Voucher;Voucher Deposito Bank;;
Bank Account Transfer Voucher;Transfer Voucher Rekening Bank;;
Bank Reconcile;Rekonsiliasi Bank;;
Bank Accounts;Akun Bank;;
Quick Entries;Entri Cepat;;
Account Tags;Akun Tag;;
Currencies;Mata Uang;;
Excange Rates;Nilai Tukar;;
GL Accounts;Akun GL;;
GL Account Groups;Grup Akun GL;;
GL Account Classes;Kelas Akun GL;;
Revaluation of Currency Accounts;Revaluasi Akun Mata Uang;;
Company;Perusahaan;;
Miscellaneous;Lainnya;;
Maintenance;Perbaikkan;;
Opening Balances;Saldo Pembukaan;;
Import Data;Impor Data;;
Company Setup;Pengaturan Perusahaan;;
User Accounts Setup;Pengaturan Akun Pengguna;;
Access Setup;Pengaturan Akses;;
Forms Setup;Pengaturan Formulir;;
Taxes;Pajak;;
System and General Gl Setup;Sistem dan Pengaturan Umum GL;;
Fiscal Years;;;
Payment Terms;Jangka Waktu Pembayaran;;
Shipping Company;;;
Points of Sale;Poin Penjualan;;
Printers;Printer;;
Contact Categories;Kategori Kontak;;
Void a Transaction;Batalkan Transaksi;;
View or Print Transactions;Lihat / Cetak Transaksi;;
Attach Documents;Lampirkan Dokumen;;
Audit Trail;Histori Audit;;
Bank Account;Akun Bank;;
System GL Accounts;Sistem Akun GL;;
Inventory;Inventaris;;
Customer;Pelanggan;;
Supplier;Pemasok;;
Search All Sales Quotations;Cari Semua Penawaran Penjualan;;
Add New Quotation;Tambah Penawaran Baru;;
From;Dari;;
To;Kepada;;
Location;Lokasi;;
Product;Produk;;
Customer;Pelanggan;;
Show All;Tampilkan Semua;;
Search;Cari;;
All Locations;Semua Lokasi;;
All Items;Semua Items;;
All Customers;Semua Pelanggan;;
Quote;Kutipan;;
Branch;Cabang;;
Cust Order Ref;Order Pelanggan Ref;;
Quote Date;Tanggal Kutipan;;
Valid Until;Berlaku Hingga;;
Delivery To;Dikirimkan Ke;;
Quote Total;Total Kutipan;;
Currency;Mata Uang;;
Edit;Ubah;;
Order;Pesanan;;
Prt;Cetak;;
Back;Kembali;;
Update;Membarui;;
No records;Data kosong;;
Home;Beranda;;
Sales;Penjualan;;
Purchases;Pembelian;;
