english;indonesian;spanish;tagalog
Create a Quote;Buat Kutipan;;
Send a quotation to your customer;Kirim kutipan pada pelanggan anda;;
Create an Invoice;Membuat Faktur;;
Sell items or service to your customer;Jual barang atau jasa kepada pelanggan anda;;
Customer Payment;Pembayaran Pelanggan;;
Receive payment from your customer;Menerima pembayaran dari pelanggan anda;;
Create a Credit Note;Membuat Catatan Kredit;;
Credit your customer for goods returned;Memberikan pelayanan barang retur untuk pelanggan;;
Create a Supplier Invoice;Buat Faktur Pemasok;;
Purchase items from supplier;Memberli barang dari pemasok;;
Supplier Payment;Pembayaran Pemasok;;
Pay your suppliers;Membayar pemasok anda;;
Bank Reconciliation;Rekonsiliasi Bank;;
View and reconcile your bank statement;;;
Pay Expenses;Membayar Beban;;
Manually capture expenses into your bank;;;
View Bank Transaction;Melihat Transaksi Bank;;
View payments, receipts, and bank transfer;Lihat pembayaran, kuitansi, dan transfer bank;;
Send Customer Statements;Kirim pernyataan pelanggan;;
Email (print) statements to all your customer;Email (cetak) pernyataan kepada seluruh pelanggan anda;;
Profit and Loss;Laba Rugi;;
View your profit and loss report;Lihat laporan laba rugi;;
Balance Sheet;Neraca keuangan;;
Statement of assets and liabilities report;Laporan aktiva dan kewajiban;;
Prepare GST Return;;;
Tax return and Tax reporting;;;
Company Maintenance;Perawatan Perusahaan;;
Manage branding, financial years, Tax, and so on;Mengelola branding, keuangan per tahun, pajak dan sebagainya;;
